campus,title,dept,annual_ftr,ftr_basis,frac_fte,amt_from_gen_fund
Dearborn,LEO Intermittent Lecturer,Dbn CEHHS Health & Human Serv,41000,8-Month,0.25,10250
Dearborn,LEO Lecturer II,Dbn Col of Eng-Electric & Comp,49766.51,8-Month,0.33,16584.69
Dearborn,LEO Lecturer II,Dbn Coll of Eng-Mechanical Eng,49766.5,8-Month,0.5,24883.25
Dearborn,PROFESSOR,Dbn-Language Culture Communctn,89568.29,8-Month,1,89568.29
Dearborn,LEO Lecturer II,Dbn CASL-Physical Sciences,44217,8-Month,0.56,24761.52
Dearborn,LEO Lecturer III,Dbn Col of Bus-Acctg & Finance,91308.36,8-Month,1,91308.36
Dearborn,PROFESSOR,Dbn Col of Bus-Acctg & Finance,177111,8-Month,1,177111
Dearborn,LEO Lecturer I,"Dbn-Literature,Philosophy&Arts",41820,8-Month,0.75,31365
Dearborn,PROFESSOR,Dbn Col of Eng-Computer & Info,174952,8-Month,1,174952
Dearborn,ASSOC PROFESSOR,Dbn Col of Eng-Computer & Info,120901,8-Month,1,120901
Dearborn,ASSOC PROFESSOR,Dbn Col of Bus-Mgmt Studies,149733,8-Month,1,149733
Dearborn,LEO Lecturer III,Dbn Col of Eng-Electric & Comp,75000,8-Month,1,75000
Dearborn,LEO Intermittent Lecturer,Dbn CEHHS Health & Human Serv,41000,8-Month,0.5,20500
Dearborn,LEO Intermittent Lecturer,Dbn CEHHS Health & Human Serv,41820,8-Month,0.5,20910
Dearborn,LEO Lecturer II,Dbn CASL-Physical Sciences,44747.4,8-Month,0.94,42062.56
Dearborn,LEO Lecturer I,Dbn Col of Bus-Mgmt Studies,41820,8-Month,0.08,3481.52
Dearborn,LEO Lecturer I,Dbn CEHHS Health & Human Serv,44690,8-Month,0.25,11172.56
Dearborn,LEO Lecturer I,Dbn CASL College-Wide Programs,41820,8-Month,0.25,10455.04
Dearborn,LEO Lecturer II,Dbn-Language Culture Communctn,41820,8-Month,0.5,20910
Dearborn,LEO Lecturer II,"Dbn-Literature,Philosophy&Arts",45642.35,8-Month,0.25,11410.59
Dearborn,LEO Lecturer III,Dbn Col of Bus-Mgmt Studies,88434,8-Month,1,88434
Dearborn,LEO Lecturer IV,Dbn Col of Bus-Mgmt Studies,97371.24,8-Month,1,97371.24
Dearborn,LEO Lecturer IV,Dbn CASL-Physical Sciences,66327.04,8-Month,1,66327.04
Dearborn,ASST PROFESSOR,Dbn Col of Eng-Computer & Info,94000,8-Month,1,94000
Dearborn,LEO Lecturer II,Dbn CASL-Social Sciences,44217,8-Month,0.25,11054.25
Dearborn,ASSOC PROFESSOR,Dbn Col of Bus-Mgmt Studies,156895,8-Month,1,156895
Dearborn,ASSOC PROFESSOR,Dbn CASL-Biological Sciences,79482,8-Month,1,79482
Dearborn,LEO Intermittent Lecturer,Dbn CEHHS Health & Human Serv,41820,8-Month,0.5,20910
Dearborn,LEO Lecturer II,Dbn CEHHS Education-OPERATIONS,53235.7,8-Month,0.45,23956.07
Dearborn,LEO Lecturer IV,Dbn CASL-Natural Sciences,72662.96,8-Month,1,72662.96
Dearborn,PROFESSOR,Dbn CASL-Social Sciences,93059,8-Month,0.37,34897.13
Dearborn,ASSOC PROFESSOR,Dbn CEHHS Education-OPERATIONS,72618.7,8-Month,1,72618.7
Dearborn,ASSOC PROFESSOR,Dbn CEHHS Education-OPERATIONS,78751,8-Month,1,78751
Dearborn,LEO Lecturer II,Dbn CASL-Social Sciences,54963.62,8-Month,0.5,27481.81
Dearborn,LEO Lecturer IV,Dbn Col of Bus-Mgmt Studies,98839.02,8-Month,1,98839.02
Dearborn,LEO Lecturer II,Dbn CASL-Physical Sciences,44217,8-Month,0.87,38689.88
Dearborn,ASST PROFESSOR,Dbn Col of Eng-Electric & Comp,95000,8-Month,1,95000
Dearborn,PROFESSOR,Dbn CEHHS Education-OPERATIONS,93499,8-Month,1,93499
Dearborn,LEO Lecturer II,Dbn CEHHS Education-OPERATIONS,44263.76,8-Month,0.25,11066
Dearborn,ASSOC PROFESSOR,Dbn CASL-Social Sciences,79179,8-Month,1,79179
Dearborn,ASSOC PROFESSOR,Dbn Col of Eng-Indust & Sys En,109481,8-Month,1,99627.71
