campus,title,dept,annual_ftr,ftr_basis,frac_fte,amt_from_gen_fund
Flint,ASSOC PROFESSOR,Flint English,75573.25,9-Month,1,75573.25
Flint,ASSOC PROFESSOR,Flint Physical Therapy,128320.19,12-Month,0.8,102656.15
Flint,ASSOC PROFESSOR,"Flint Soc,Anthropology & CJ",77069.88,9-Month,1,77069.88
Flint,PROFESSOR,Flint School of Management,145361.56,9-Month,1,145361.56
Flint,LEO Lecturer II,Flint Communications Studies,44217.09,8-Month,0.5,21860.16
Flint,LEO Lecturer I,Flint Biology,41000,8-Month,0.83,33809.76
Flint,LEO Lecturer III,Flint School of Management,83640,9-Month,1,83640
Flint,ASST PROFESSOR,"Flint Soc,Anthropology & CJ",64247.97,9-Month,1,49548.03
Flint,LEO Lecturer II,Flint Education,44217.09,8-Month,0.5,21860.16
Flint,LEO Lecturer II,Flint Nursing,52658.45,8-Month,0.64,33322.8
Flint,ASSOC PROFESSOR,Flint Nursing,94059.5,9-Month,0.5,47029.75
Flint,ASST PROFESSOR,Flint Engineering,86367.87,9-Month,1,86367.87
Flint,ASSOC PROFESSOR,Flint School of Management,118711.28,9-Month,1,118711.28
Flint,ASST PROFESSOR,Flint School of Management,148560.57,9-Month,1,148560.57
Flint,ASST PROFESSOR,Flint Physical Therapy,92000,12-Month,1,92000
Flint,LEO Lecturer I,Flint Nursing,41820,8-Month,0.1,4135.04
Flint,LEO Lecturer II,Flint English,44690,8-Month,0.75,33140.96
Flint,LEO Intermittent Lecturer,Flint Physical Therapy,56181.88,8-Month,0.26,14720.96
Flint,ASST PROFESSOR,Flint Nursing,81859.44,9-Month,1,81859.44
Flint,ADJUNCT CLINICAL LECTURER,Flint Nursing,36000,8-Month,0.15,5339.36
Flint,ASSOC PROFESSOR,"Flint Soc,Anthropology & CJ",75340.79,9-Month,1,75340.79
Flint,ASST PROFESSOR,Flint School of Management,147699.91,9-Month,1,147699.91
Flint,LEO Lecturer II,Flint Mathematics,45642.58,8-Month,0.33,15028.24
Flint,ASSOC PROFESSOR,Flint School of Management,128808.68,9-Month,1,128808.68
Flint,LEO Lecturer I,Flint Art & Art History,45465.88,8-Month,0.25,11238.8
Flint,LEO Lecturer I,Flint Political Science,41820,8-Month,0.5,20675.04
Flint,PROFESSOR EMERITUS/A,Flint School of Management,150000,12-Month,0.5,75000
Flint,LEO Lecturer II,Flint Engineering,47312.26,8-Month,1,46780.72
Flint,ASST PROFESSOR,Flint Nursing,79222.78,9-Month,1,79222.78
Flint,LEO Lecturer I,Flint Nursing,41820,8-Month,0.2,8270.08
Flint,ASSOC PROFESSOR,Flint Economics,99808.76,9-Month,1,99808.76
Flint,ADJUNCT CLINICAL LECTURER,Flint Nursing,34000,8-Month,0.3,10085.36
Flint,ASST PROFESSOR,Flint Social Work,59136.34,9-Month,1,59136.34
Flint,LEO Lecturer IV,Flint Social Work,62508.07,9-Month,1,62508.07
Flint,LEO Lecturer II,Flint Economics,43055,8-Month,0.25,10642.8
Flint,LEO Lecturer IV,Flint Biology,84412.37,9-Month,1,84412.37
Flint,LEO Lecturer II,Flint Dept Pub Hlth & Hlth Sci,43350.16,8-Month,0.25,10715.76
Flint,PROFESSOR,Flint Computer Science,103281.26,9-Month,1,103281.26
Flint,ASSOC PROFESSOR,"Flint Soc,Anthropology & CJ",81621.1,9-Month,1,81621.1
Flint,ASST PROFESSOR,Flint Dept of Chem/Biochem,64226.91,9-Month,1,64226.91
Flint,LEO Lecturer II,Flint Biology,59331.22,8-Month,1,58664.56
Flint,PROFESSOR,Flint Engineering,114586.92,9-Month,1,114586.92
Flint,ADJUNCT CLINICAL LECTURER,Flint Nursing,36540,8-Month,0.6,21677.68
Flint,LEO Lecturer IV,Flint Computer Science,78555.17,9-Month,1,78555.17
Flint,ASST PROFESSOR,Flint Education,56000,9-Month,1,56000
Flint,LEO Lecturer II,Flint Social Work,50303.47,8-Month,0.5,24869.2
Flint,LEO Lecturer I,Flint Nursing,41820,8-Month,0.6,24810.08
Flint,PROFESSOR,Flint Nursing,121303.26,9-Month,1,121303.26
Flint,LEO Lecturer IV,Flint Communications Studies,79017.47,9-Month,1,79017.47
Flint,LEO Lecturer II,Flint Dept Pub Hlth & Hlth Sci,43916.15,8-Month,0.33,14329.52
Flint,ASSOC PROFESSOR,Flint Psychology,75682.91,9-Month,1,75682.91
Flint,ASSOC PROFESSOR,Flint Mathematics,76880.97,9-Month,1,76880.97
Flint,ASSOC PROFESSOR,Flint Mathematics,80177.24,9-Month,1,80177.24
Flint,PROFESSOR,Flint School of Management,156290.75,9-Month,1,156290.75
Flint,ASSOC PROFESSOR,Flint School of Management,143088.91,9-Month,1,143088.91
Flint,LEO Lecturer IV,Flint Biology,51857.75,9-Month,1,51857.75
Flint,ASSOC PROFESSOR,Flint Psychology,72819.77,9-Month,1,72819.77
Flint,LEO Lecturer I,Flint Nursing,41820,8-Month,0.22,9097.04
Flint,ASST PROFESSOR,Flint Psychology,64542.77,9-Month,1,64542.77
Flint,ASSOC PROFESSOR,Flint History,73473.47,9-Month,1,73473.47
Flint,LEO Intermittent Lecturer,Flint Occupational Therapy,56000,8-Month,0.14,8028.8
Flint,ASSOC PROFESSOR,Flint Political Science,76614.51,9-Month,1,76614.51
Flint,LEO Lecturer IV,Flint Dept of Chem/Biochem,58264.4,9-Month,1,58264.4
Flint,LEO Lecturer IV,Flint Nursing,66832.78,9-Month,1,66832.78
Flint,LEO Lecturer II,Flint Biology,53118.65,8-Month,1,52521.84
Flint,VISITING ASST PROFESSOR,Flint Nursing,100000,12-Month,0.6,0
Flint,LEO Lecturer IV,Flint Political Science,79932.35,9-Month,1,79932.35
Flint,LEO Lecturer II,Flint Mathematics,45584.13,8-Month,0.33,15008.96
Flint,LEO Lecturer II,Flint Dept Pub Hlth & Hlth Sci,60023.82,8-Month,0.75,44512.08
Flint,LEO Lecturer II,Flint Nursing,49378.57,8-Month,0.44,21482.48
Flint,ADJUNCT CLINICAL LECTURER,Flint Nursing,34000,8-Month,0.43,14749.92
Flint,PROFESSOR,Flint Economics,124006.94,9-Month,1,124006.94
Flint,LEO Lecturer IV,Flint School of Management,86310.79,9-Month,0.75,64733.1
Flint,LEO Lecturer II,Flint School of Management,74705.93,8-Month,1,73866.56
Flint,LEO Lecturer II,Flint Social Work,50578.66,9-Month,0.25,12644.67
Flint,LEO Lecturer I,Flint Dept of Chem/Biochem,41820,8-Month,1,41350.16
Flint,LEO Lecturer I,Flint Foreign Language,41820,8-Month,0.33,13769.6
