campus,title,dept,annual_ftr,ftr_basis,frac_fte,amt_from_gen_fund
Ann Arbor,professor,LSA Anthropology,131156,9-Month,0.5,65578
Ann Arbor,professor,LSA DAAS,131156,9-Month,0.5,65578
Ann Arbor,asst professor,Ross School of Business,185000,9-Month,1,0
Ann Arbor,assoc professor,Allergy Division,219473,12-Month,0.81,8.05
Ann Arbor,clinical lecturer,Int Med-Nephrology,80000,12-Month,1,0
Ann Arbor,professor,Comp Med and Bioinformatics,225000,12-Month,1,215136
Ann Arbor,adjunct clinical professor,G. Ford Sc Pub Pol,82778.99,8-Month,0.49,0
Ann Arbor,professor,Aerospace Engineering,163500,9-Month,0.05,0
Ann Arbor,assoc professor,LSA Molec./Cell./Develop. Bio,102928,9-Month,1,92635.2
Ann Arbor,professor,Mechanical Engineering,180651,9-Month,0.5,90325.5
Ann Arbor,professor,Climate and Space Sciences Eng,187785,9-Month,1,122060.25
Ann Arbor,professor,Nuclear Eng & Radiological Sci,143448,9-Month,1,143448
Ann Arbor,professor,"Metabolism, Endo & Diabetes",225000,12-Month,0.54,6980.03
Ann Arbor,leo lecturer ii,LSA Romance Languages & Lit.,62150.37,8-Month,1,61452.08
Ann Arbor,leo intermittent lecturer,Ross School of Business,92700,8-Month,0.66,61113.28
Ann Arbor,assoc professor,LSA Asian Languages & Cultures,86200,9-Month,1,86200
Ann Arbor,leo adjunct lecturer,SMTD Department of Theatre,52530,9-Month,0.35,18385.5
Ann Arbor,assoc professor,LSA English Language & Lit.,108000,9-Month,1,108000
Ann Arbor,asst professor,LSA Chemistry,97000,9-Month,1,97000
Ann Arbor,assoc professor,LSA Chemistry,106700,9-Month,1,106700
Ann Arbor,professor,EECS - CSE Division,191212,9-Month,0.5,95606
Ann Arbor,asst professor,Mechanical Engineering,102500,9-Month,1,102500
Ann Arbor,asst professor,COE EECS - ECE Division,113000,9-Month,1,113000
Ann Arbor,leo adjunct lecturer,LSA Physics,52530,8-Month,0.25,12984.96
Ann Arbor,professor,Law School,302755,9-Month,1,60551
Ann Arbor,leo lecturer i,LSA Communication and Media,86100,8-Month,1,0
Ann Arbor,clinical professor,Department of Radiology,200000,12-Month,1,0
Ann Arbor,professor,LSA English Language & Lit.,201126.01,9-Month,1,201126.01
Ann Arbor,assoc professor,Mechanical Engineering,125861,9-Month,1,106981.85
Ann Arbor,research professor,"SRC-Society, Pop., & Envir.",353219,12-Month,1,0
Ann Arbor,professor,Int Med-General Medicine,240000,12-Month,0.5,0
Ann Arbor,leo lecturer i,LSA DAAS,66000,8-Month,0.66,43511.04
Ann Arbor,research asst professor,Pathology Department,72368,12-Month,1,0
Ann Arbor,asst professor,Ross School of Business,185000,9-Month,1,0
Ann Arbor,professor,LSA History,135240,9-Month,0.25,33810
Ann Arbor,professor,LSA Middle East Studies,135240,9-Month,0.75,101430
Ann Arbor,leo lecturer i,LSA UG: Curriculum Support,66437.46,8-Month,0.33,21891.52
Ann Arbor,leo lecturer ii,LSA Sweetland Writing Center,66437.45,9-Month,0.66,44297.17
Ann Arbor,assoc professor,School of Kinesiology,131038.64,9-Month,1,131038.64
Ann Arbor,clinical professor,Int Med-Cardiology,225000,12-Month,1,1383.75
Ann Arbor,research professor emeritus/a,SRC - Youth & Social Issues,253286,12-Month,0.05,0
